"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Jan 1900","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","516.28","515.0","532.5","520.0","543.0","521.666666666667","530.33","508.57142857142856","510.0","503.57142857142856","500.636363636364","512.55","432.5","572.0","550.473684210526","570.0","595.0","587.857142857143","488.8888888888889","489.2307692307692","498.0","508.8888888888889","500.0","498.88888888888","500.55555555555554","518.571428571429","515.769230769231","519.166666666667","519.4781666666669","502.22222222222223","460.0","485.45","473.0769230769231","470.444","488.0","475.38461538461536","475.40173829","471.03","444.61538461538464","433.75","439.0","451.428571428571","452.55","450.52",""
"Agric eggs(medium size price of one)","47.78","43.54166666666665","45.0","44.285714285714285","46.36363636363637","45.0","48.57142857142857","44.705882352941174","45.0","44.11764705882353","42.21","46.73913043478261","40.0","45.333333333333336","44.21052631578947","44.285714285714285","45.0","44.90196078431372","45.45454545454545","46.25","44.411764705882355","46.36363636363637","46.1428571428571","45.45454545454545","45.0","45.714285714285715","45.333333333333336","45.4166666666667","45.443916666666695","40.0","40.0","42.85","46.15384615384615","45.136874","42.0","40.0","40.1047295","40.0","40.0","41.92","42.0909090909091","45.333333333333336","45.9294117647058","44.6666666666667",""
"Beans brown,sold loose","347.43499999999995","340.67791666666653","344.603174603175","351.37046861184797","350.0","350.0","366.3872241553401","417.221","426.64596273291926","398.78442545109215","396.042857142857","387.306778031416","427.4376417233561","413.500203500203","383.88712522045864","351.37046861184797","396.645962732919","411.8050234142188","412.18449505406","417.726982560816","436.496466496466","395.27000032747156","369.3748499028","376.18449505406","354.740740740741","380.222130997993","380.4232804232804","350.1851851851852","344.79999999999995","353.7769637769638","345.89285714285717","305.48","329.775450295633","333.7677777777778","337.9166666666667","330.4257224257224","314.1851851851852","301.4258368945869","285.7903654455379","291.493420160087","294.241835187109","288.6678124419375","295.026598070884","300.48273948274",""
"Beans:white black eye. sold loose","306.0775","287.03999999999996","288.7937195080052","307.42736270753517","314.28571428571","320.612114577632","321.791651182955","356.18235294117653","365.61436416508883","353.5923771217889","353.5923771217889","349.686290672537","358.830567580568","327.77642110975444","352.14159737969266","302.566251596424","365.61436416508883","354.0549169859515","358.0587045804437","355.58757895506193","367.46551378904326","346.3081873426701","328.305135484382","308.058704580444","300.835377585378","326.851360644464","320.1017501017501","315.1747358643911","326.7742857142857","305.2765059015059","305.47912992357436","297.09","309.636541095625","310.335833333333","282.08333333333337","283.18944671885845","241.35048717424192","224.641309004786","232.30545699511225","241.261701261701","258.33568363774475","269.83926831874595","285.143776274012","290.218364756185",""
"Beef Bone in","1026.0166666666667","1086.14166666666","1125.0","1086.73469387755","1113.43","1080.15873015873","1266.4049919484703","1139.31866666666","1140.0022578666599","1138.3928571428573","1023.6125000000001","1044.44444444444","925.925925925926","1031.81818181818","1147.79750164366","1048.7995198079232","1000.0","1068.3127478582023","1033.3333333333333","1150.0","1000.0","1076.532","985.38461538462","1000.0","1091.41414141414","1103.33333333333","1107.61904761905","1200.91228070175","1235.2933333333333","1244.9404761904761","1243.33333333333","1198.0","1170.0","1189.16625","1094.62962962963","1100.8762541806","1097.91874791874","1048.58608058608","1096.39855942377","1085.0094732853354","1094.89795918367","1157.12962962963","1105.144","1106.158",""
"Beef,boneless","1381.024375","1437.5","1425.0","1311.6666666666667","1325.98","1334.87179487179","1370.7729468599034","1253.3566666666666","1278.48484848485","1319.13043478261","1240.4714285714285","1285.9017236943657","1361.90476190476","1360.4347826086955","1321.7391304347825","1380.0","1281.8181818181818","1304.12439687293","1328.57142857143","1319.2307692307693","1260.0","1300.0","1280.0","1276.80555555556","1286.61680911681","1380.0","1400.735422","1450.32051282051","1452.5725","1374.44444444444","1381.48148148148","1344.44","1302.5974025974","1328.12181818182","1332.6530612244899","1314.3793412941","1318.080993080993","1264.1244745592571","1240.4090859713592","1234.26501035197","1239.53991258339","1251.11111111111","1288.88888888889","1300.80676328502",""
"Bread sliced 500g","307.105","351.428571428571","325.555555555556","300.0","343.75","380.0","363.333333333333","318.75","313.333333333333","322.72727272727275","315.0","311.428571428571","310.0","315.0","320.45454545454544","308.333333333333","300.0","295.23809523809524","305.0","313.6363636363636","318.75","305.0","322.22222222222223","305.0","320.0","324.2857142857143","314.2857142857143","325.0","325.0","325.0","357.14285714285717","335.71","330.0","310.0","350.0","330.0","331.181818181818","326.9230769230769","322.22222222222223","316.25","310.0","333.3333333333333","327.77777777777777","307.5",""
"Bread unsliced 500g","265.71","272.22222222222194","257.5","259.727272727273","280.0","275.0","290.7692307692308","314.2857142857143","300.0","304.1666666666667","273.0769230769231","273.52941176470586","281.818181818182","302.72727272727275","309.09090909090907","292.727272727273","299.090909090909","288.928571428571","290.0","283.3333333333333","300.0","290.0","300.25","290.0","285.7142857142857","287.0","279.090909090909","264.2857142857143","265.472666665397","255.0","250.0","268.18","304.285714285714","348.75","378.571428571429","360.0","360.21467909091","313.6363636363636","294.44444444444446","307.14285714285717","300.0","280.0","265.0","270.3",""
"Broken Rice (Ofada)","300.0","310.43","400.0","416.6666666666667","480.0","490.0","485.0","450.88","451.15052799999995","371.428571428571","371.428571428571","370.0","376.769230769231","377.0329692307694","366.666666666667","366.6666666666667","350.0","358.666666666667","233.33333333333334","233.33333333333334","259.796656732601","250.47619047619","301.333333333333","333.333333333333","316.666666666667","323.333333333333","331.58432","323.333333333333","323.4949999999996","293.333333333333","283.333333333333","298.56","309.569892473118","358.33","333.333333333333","353.435013262599","354.26417983","366.666666666667","326.666666666667","335.161290322581","342.58064516129","333.3333333333333","333.3333333333333","334.12",""
"Chicken Feet","859.155","1100.0","850.0","800.0","1000.0","1000.0","990.0","975.0","975.5849999999999","980.0","986.5","975.0","975.6532","976.4337225599999","850.0","825.0","908.0","950.0","1000.0","1000.0","1100.0","950.57321","945.85764","800.0","810.631895","816.76568625","805.21654","820.13246578","820.7065585060459","789.25","750.0","800.0","760.0","812.335","850.0","850.0","848.648291","795.0","800.0","711.03","689.15","750.0","700.145","667.01",""
"Chicken Wings","889.395","1133.33","850.0","816.666666666667","1000.15","1100.0","1104.1666666666667","1100.0","1100.6599999999999","1020.8333333333334","1058.45","1066.6666666666667","1100.0","1100.8799999999999","1120.0","987.5","1100.0","1100.0","1216.66666666667","1200.0","1325.0","1350.0","1283.54","1020.83333333333","1100.0","1080.0","993.333333333333","1050.0","1050.6299999999999","994.2","990.625","1000.0","975.32","1000.0","1033.33333333333","1050.0","998.57433333333","953.333333333333","940.0","926.666666666667","889.23","925.0","871.127272727272","811.29.",""
"Evaporated tinned milk carnation 170g","127.84","140.0","165.0","153.33333333333334","160.0","150.0","160.0","150.0","185.0","173.33333333333334","173.33333333333334","162.5","170.0","163.333333333333","150.0","153.33333333333334","170.0","178.0","165.0","160.0","180.0","165.0","150.0","155.0","160.2735","160.14678","158.47548","160.0","160.587356","150.0","150.0","150.0","166.66666666666666","165.0","160.0","170.0","169.372519","160.0","140.0","145.0","143.33333333333334","161.42857142857142","158.0","150.0",""
"Evaporated tinned milk(peak), 170g","160.865","180.238095238095","194.54545454545453","199.33333333333334","199.5","194.16666666666666","204.28571428571428","202.35294117647058","209.33333333333334","189.28571428571428","189.28571428571428","195.5","198.142857142857","193.33333333333334","192.6315789473684","190.66666666666666","203.33333333333334","195.6","180.9090909090909","182.0","192.85714285714286","187.0","174.28571428571428","180.9090909090909","182.521739130435","184.0","181.333333333333","180.83333333333334","179.833333333333","163.07692307692307","183.33333333333334","180.735129","185.83333333333334","187.0","177.77777777777777","186.42857142857142","184.777777777778","178.23529411764707","180.0","188.8235294117647","185.909090909091","182.0","182.666666666667","181.53846153846155",""
"Frozen chicken","1726.945","2000.0","1800.0","1600.0","1600.0","1700.0","1700.0","1733.33333333333","1734.37333333333","1640.0","1650.0","1700.0","1750.0","1650.0","1550.55","1600.0","1600.0","1585.0","1650.0","1600.0","1700.0","1650.0","1600.0","1700.0","1725.0","1708.0","1721.83217","1750.0","1762.2499999999998","1820.0","1800.0","1750.0","1833.3333333333333","1850.0","1900.0","1925.5","1975.0","1950.0","1920.0","1875.0","1830.23","1900.0","1866.66666666667","1833.33333333333",""
"Gari white,sold loose","163.03125","292.3999999999995","273.946653991599","252.2781367024788","265.76","318.612440191388","292.186220095694","230.86882352941177","263.7678517770051","222.5353548950264","214.135","209.01468281851058","209.51115161641474","214.28753702437913","186.03543490761535","183.433028006827","206.642384651538","189.993235231711","179.13721768852","192.747491333698","201.035040667394","183.685010641532","183.96701982228296","163.15977112008812","180.0","169.441050177892","167.261122300024","165.622242936316","163.805384615385","147.7443609022556","146.216045163414","156.79","146.9110980552628","147.48727272727274","173.5198385574325","183.606881839965","182.12930474334","147.70303655752573","151.72577663635403","159.60222526012","167.346072310885","192.4169852240028","203.06152403406404","200.946188314609",""
"Gari yellow,sold loose","240.25374999999997","265.8","278.481247966374","284.62104951578635","300.11","357.671645855215","328.8908229276075","412.786666666667","413.03433866666694","370.226937567899","367.089473684211","365.89382134893","303.1268647810001","288.291770268887","262.600485170145","252.03167753511","250.00244267978817","231.183876791622","224.84514791775","224.896273317326","245.980315980316","213.2846654151","214.6293106503633","189.84196927820813","200.706117668411","187.624994888153","185.907471247288","198.988120829082","194.794285714286","161.28590707538075","151.048249995618","163.19","159.70387947148902","156.22727272727275","177.25279106858054","209.6046740783583","207.802268933463","150.62909799751907","147.46912413205806","146.568901592825","153.154787576287","222.36760104036992","240.37668184255884","232.017923596871",""
"Mudfish (aro) fresh","903.0","836.36","1035.7142857142858","908.333333333333","1100.0","1100.0","1052.6315789473686","966.67","967.2500019999999","1040.74074074074","1085.85","1085.0626566416","1175.0","1200.0","1050.0","940.7407407407408","1017.04545454545","1157.35294117647","1166.66666666667","1200.0","1300.0","1421.5686274509803","1375.0","1300.0","1275.0","1250.0","1252.29838022165","1300.0","1343.395","1275.0","1233.33333333333","1192.1","1151.28205128205","1210.0","1131.7829457364342","1150.0","1146.11721611722","1106.26180836707","1138.46153846154","1053.84615384615","1028.84615384615","1096.64502164502","1070.31039136302","1000.13",""
"Mudfish : dried","2070.551","2428.57","2435.06493506494","2528.57142857143","2650.0","2666.66666666667","2658.333333333335","2270.20571428571","2271.5678377142813","2233.38566195709","2255.32","2214.40329218107","1995.2380952381","2124.06204906205","1917.00680272109","1953.63636363636","1907.99755799756","1830.24691358025","1905.65476190476","1915.2380952381","1818.181818181818","1884.6153846153848","1922.79249448124","1605.6547619047622","1562.3899909614195","1566.3780663780663","1587.02222222222","1608.92045454545","1636.668","1589.50216450216","1536.11111111111","1550.3","1494.16461916462","1515.64714285714","1582.42933537051","1557.037037037","1603.93939393939","1580.95238095238","1567.58658008658","1546.21212121212","1507.61817547532","1479.5977011494253","1465.35714285714","1421.21212121212",""
"Onion bulb","294.164375","226.039375","220.15207015207","179.4070512820513","173.519123608056","204.919484702093","235.6471789511748","242.21625","241.383492668322","201.2855771679301","199.175","201.006674484935","224.2857142857143","218.65","201.313131313131","225.879638099259","218.909808457796","234.541062801932","288.830613830614","286.41566017211","258.458861400038","223.055555555556","257.400861517709","201.643356643357","250.65918134186632","274.60052025269414","245.38961038961","286.3615916247495","266.665714285714","259.642094017094","241.66666666666669","238.14","200.71428571428572","207.1441666666667","226.76366843033512","206.3058400014922","200.660184114131","216.3669663669664","203.87188400468503","158.650793650794","126.102239068746","127.06228956229","140.733957400624","136.507936507937",""
"Rice agric sold loose","301.84","311.43","310.0","295.1612903225806","300.14","319.444444444444","326.666666666667","366.67","366.926669","266.6666666666667","255.16","256.666666666667","243.333333333333","300.0","300.0","295.1612903225806","305.0","312.952508960573","316.66666666666663","326.9230769230769","408.45946506323867","371.264367816092","378.064516129032","316.66666666666663","333.3333333333333","336.963292547275","315.85732","307.77777777777","306.67","290.3225806451613","293.333333333333","305.0","311.827956989247","315.11","403.548387096774","382.603686635945","381.181034482759","383.809523809524","333.3333333333333","369.3548387096774","387.09677419354836","354.83870967741933","387.09677419354836","390.506912442396",""
"Rice local sold loose","272.71","283.965625","297.12930759017894","303.15065681444986","335.914085914086","357.9970122612337","338.89497007725","285.9622222222221","297.8574631965602","283.03792781480405","257.3090909090909","266.80304886863746","232.77975307661072","241.77039744336741","243.30067298774028","252.317323481117","297.8574631965602","265.7546038537815","256.4537058530293","260.7644043720104","253.074256394402","260.120415982485","278.17434201875585","256.45370585302936","303.70233103723655","304.795268425842","300.442958792712","294.080594467153","279.142666666667","259.78379857690203","290.95052197990356","286.96","307.107279693487","312.418333333333","349.50396825396825","348.21757641206","346.111716281681","351.48","296.300987075965","297.4025129177354","300.059472982939","329.5925697865353","380.15286885674544","385.989780558965",""
"Rice Medium Grained","303.71500000000003","261.44","303.333333333333","259.7512123128821","358.333333333333","383.333333333333","365.979447655748","333.33","347.5642958867387","266.6666666666667","253.0","244.868336544637","238.333333333333","246.666666666667","266.6666666666667","259.7512123128821","274.564295886739","256.7741935483871","258.3815028901734","244.29734601280379","268.5280397242842","250.0","257.41376095469","258.3815028901734","300.0","318.064516129032","306.36922678","295.497076023392","282.365","258.06451612903226","266.6666666666667","266.66","315.698924731183","356.67","408.3333333333333","392.58064516129","392.161290322581","400.11","400.0","383.333333333333","362.58064516129","338.7096774193548","387.09677419354836","383.870967741935",""
"Rice,imported high quality sold loose","390.43333333333334","422.6599999999995","420.3448275862069","407.1563998235557","430.01229205577","488.80650994575","469.804839968774","402.915","407.1428571428571","368.26252365649515","355.49","353.346847640872","327.77777777777777","359.95670995671003","351.895159921739","407.1563998235557","407.1428571428571","397.26316115854627","394.366402116402","381.3623771343331","374.084249084249","385.3448275862069","398.5599078341013","333.0687830687831","348.7155388471178","352.309427803379","351.57871900397","379.9096880131363","381.693333333333","377.6278253236779","387.081014223871","364.79","375.468509984639","402.93","482.3924731182796","480.976539589443","480.413838401995","474.5337751202853","472.68240629585176","449.24641549602","422.403005277486","502.55102040816325","500.083717357911","498.62030728834",""
"Tomato","291.78312500000004","290.324285714286","278.95752031220013","270.23809523809524","380.43345543345544","397.619047619048","380.643539467069","323.234444444444","280.068150448585","203.424506200788","254.60666666666665","242.686328576798","235.244453590682","250.769230769231","236.90724619296","276.04097872570776","262.2554245094404","251.884920634921","307.142857142857","317.604233827638","313.636363636364","308.581349206349","287.107918263091","245.529929840275","275.68488934035156","306.59340659340666","284.072681704261","285.205254515599","292.06","275.762283693318","253.464696223317","263.98","278.191122602887","252.1475","211.349789915966","226.600819275078","230.186686939601","197.86531669523995","215.981189332127","219.0972222222222","201.775176898279","217.29661950250184","200.369741753825","179.458041958042",""
"Yam tuber","161.905625","154.709374999999","213.146113146113","222.105013688865","253.589743589744","277.085042384468","252.115932500548","262.795625","224.3707209544865","203.616638119613","185.883333333333","179.244924970459","202.058080808081","209.197530864198","278.54030501089323","319.3499622071051","326.28205128205127","369.88965856835","357.176290101222","392.857142857143","379.869663382594","342.878601185237","203.44519504380364","198.849419100118","170.344513984642","203.872256260364","208.628004220996","317.57113821138216","312.980909090909","251.4294812945593","220.860460538197","218.15","197.974733577055","138.93875000000003","208.636363636364","184.011920614896","185.925925925926","168.627450980392","187.96707708366145","144.34319671289484","164.972693819575","193.29532700744826","183.222145314921","173.371943371943",""
"Dried Fish Sardine","1226.995","1266.67","1209.09","1217.045","1290.35262400387","1206.54","1240.74","1216.67","1157.14285714286","1113.80952380952","1156.15","1141.6666666666667","1222.22222222222","1223.1999999999975","1390.4761904761906","1225.0","1307.14285714286","1373.3333333333335","1571.42857142857","1566.66666666667","1555.55555555556","1600.153267","1539.95859213251","1500.0","1545.4545454545455","1455.55555555556","1461.47186147186","1503.33333333333","1487.69","1398.66666666667","1352.30769230769","1379.16","1345.05050505051","1415.06","1461.11111111111","1463.63636363636","1501.81818181818","1495.84510727368","1464.28571428571","1487.87878787878","1441.55844155844","1454.5977011494253","1483.33333333333","1416.66666666667",""
"Iced Sardine","672.08","673.039288","670.87","680.0","686.736965320698","683.2","695.56","694.88","670.0","680.20105820106","683.35","680.74074074074","700.0","700.56","850.0","800.0","820.08064516129","847.61904761905","908.57142857143","851.428571428571","825.0","900.0","985.325","1000.0","909.090909090909","921.674321","930.08613008613","1016.66666666667","1000.8321597","937.42424242424","918.18181818182","970.0","963.64734299517","1015.71428571429","1056.11111111111","1046.10318024791","1065.71428571428","1022.44444444444","980.048562548562","949.206349206349","925.0","966.56814449918","957.85714285714","951.155",""
"Irish potato","188.207","187.69","186.0625","187.298666666666","192.584244708056","191.255","197.18","196.87","182.300310261475","165.02514049097903","183.475","180.323278710189","203.268384663733","198.0","216.406926406926","299.11017570707037","307.186989212161","307.676693654955","284.56510809451987","289.213006612689","266.9191919191919","256.80720245937636","344.761904761905","284.56510809451987","268.4879934879935","275.030479499079","287.677233474001","305.891330891331","297.3621876","218.244047619048","209.463141025641","255.64","237.467532467532","260.181666666667","307.893217893218","275.244703631277","286.798355705919","261.861111111111","302.987382987383","268.751459268701","210.964313464313","257.342995169082","235.238095238095","202.328042328042",""
"Sweet potato","110.05375","116.306666666667","111.3","118.506","117.395230013055","117.98","110.67","115.16","110.753741776829","95.179671289755","99.53750000000001","99.915387937444","77.777777777778","85.873015873016","86.464133476693","105.547558354576","135.20644138188","121.98773448773449","122.045454545455","124.573159117206","138.186274509804","122.254168054168","139.687277896233","103.137497423212","134.51710190840626","148.64846793418224","135.357098175023","155.7017057017057","138.14625","135.81481481481484","134.44444444444446","146.48","159.601929100257","171.364545454545","180.5860805860806","210.40320411117276","230.66856971153845","202.90178571428572","211.98292448292446","183.972304310469","203.75457875457874","282.82828282828285","284.939656834394","263.265306122449",""
"Tilapia fish (epiya) fresh","640.7875","657.14","666.665","650.0","654.361626148783","660.77","665.0","650.29","623.333333333333","650.71604938272","650.71604938272","650.0","720.0","886.60130718954","800.0","825.66666666667","815.0","714.2857142857143","766.66666666667","800.0","840.74074074074","825.0","926.31578947368","800.0","850.53217","905.0","918.18181818182","1083.33333333333","1054.55","983.33333333333","970.0","1005.0","959.72222222222","1000.42861","1060.6060606060605","1050.0","1030.0","1003.07692307692","985.0","977.272727272727","951.79487179487","1013.84615384615","975.0","950.13",""
"Titus:frozen","531.3","558.2775","560.05","531.656666666667","538.864728740679","543.26","533.29","525.34","525.113636363636","550.7901234568","600.52","600.90235690236","700.0","822.50189620285","819.0517269709815","858.461538461538","838.6363636363636","797.0564576118757","802.0","825.28806584362","827.16049382716","876.2987012987013","1071.1038961039","938.57142857143","1000.53432282004","1071.1038961039","1062.08241758242","1155.62770562771","1121.46571428571","1081.45292207792","1050.05411255411","1088.33","1100.47978642257","1152.07875","1180.0","1155.88434553951","1157.54716981132","1096.87414077574","1124.61548722053","1099.80642545859","1055.59038662487","1102.42424242424","1049.20634920635","1003.33333333333",""
"Catfish (obokun) fresh","865.875","776.785","780.0","783.215","786.43","745.2","741.0","739.02","730.89078","750.0","775.8","773.43434343434","800.0","850.12","866.66666666667","858.333333333333","885.33333333333","973.45679012346","1055.55555555556","1083.3333333333335","1101.7543859649122","1071.4285714285716","1125.0","1050.0","1075.0","1175.0","1157.69230769231","1217.97101449275","1226.4968115941992","1195.33333333333","1176.31578947368","1136.06","1120.29","1176.315","1222.52032520325","1250.0","1261.14285714286","1198.05263157895","1155.38461538462","1106.31578947368","1066.66666666667","1072.22222222222","1063.31168831169","985.15",""
"Catfish :dried","1642.02384386668","1663.03576580002","1735.17","1755.2166666666665","1821.925756355862","1720.0","1720.24","1659.88","1641.6213200000002","1661.9611158072696","1511.8700000000001","1489.70175124021","1535.48534798535","1552.11","1669.0373728835268","1569.19191919192","1499.4708994708994","1519.39963545227","1541.7989417989418","1413.0717699266086","1506.75464320626","1546.2962962962965","1602.7777777777778","1541.798941798942","1600.74029611845","1705.38461538462","1697.43067033976","1701.78321678322","1685.013","1598.85996055227","1565.89743589744","1540.7","1487.69104769105","1504.04083333333","1606.23885918004","1555.980861244","1598.7012987013","1547.73115773116","1491.14219114219","1423.7172141583906","1397.2234661889836","1385.43417366947","1370.56822729092","1381.40868140868",""
"Catfish Smoked","1718.99","1527.77833333333","1620.1","1619.01","1617.92","1644.915","1650.0","1779.545","1759.9700050000001","1798.91774891775","1863.6499999999999","1819.35064935065","1625.0","1382.66666666667","1201.0869565217392","1366.6666666666667","1372.22222222222","1416.23376623377","1436.36363636364","1481.25","1466.66666666667","1484.848484848485","1509.09090909091","1530.025","1542.85714285714","1551.19047619048","1548.80952380952","1602.22222222222","1573.49","1547.22222222222","1496.33333333333","1509.52","1482.9545454545455","1445.18333333333","1367.6724137931","1405.38461538462","1459.40170940171","1480.25","1509.12169312169","1437.0370370370372","1429.48","1433.2585185185185","1433.3333333333335","1404.7619047619",""
"Mackerel : frozen","750.0","738.53","943.3","887.293333333333","875.6093464194562","841.36","840.0","858.64","849.1949599999999","807.9420579420579","745.2000000000002","736.210826210826","838.095238095238","713.9652014652014","904.4712320927155","815.029761904762","815.55555555556","916.4113921953643","908.3333333333334","1000.0","1075.0","1000.0","1075.0","991.66666666667","1040.0","1087.5","1030.38073038073","1150.0","1129.23","1212.0","1200.0","1155.78","1158.55769230769","1182.88","1177.47252747252","1154.65301254774","1156.90148667122","1102.59","1090.76576218559","1055.24891774891","1059.25925925926","1075.0","1060.89","993.333333333333",""
"Groundnut oil: 1 bottle, specify bottle","430.21","428.11","455.55","431.47","438.12","445.17","490.47","500.33","440.19","445.83","445.83","441.794871794872","500.0","495.8","520.0","538.461538461538","601.282051282051","612.1212121212121","629.6296296296296","638.888888888889","636.060606060606","595.2380952380952","614.285714285714","609.62962962963","589.4736842105265","594.4444444444445","600.8364","646.6666666666667","618.180909090909","600.0","586.153846153846","619.04","605.151515151515","646.667","638.0952380952382","600.0","594.871794871795","566.666666666667","610.2564102564103","585.0","554.761904761905","606.153846153846","582.857142857143","580.68",""
"Maize grain white sold loose","159.99","177.28","176.71","169.26","190.06","195.39","193.16","189.55","160.99","195.68","195.68","195.551913907751","188.71048704382","190.0","140.58328145284668","164.98305897090495","183.6420973195573","195.19252065106807","192.669485932085","193.156583499432","195.577532028363","175.135531135531","149.06170097807725","127.425824028011","116.89887262838582","120.570540570541","123.120440812749","145.872532211057","129.6914285714286","143.69840036506704","123.58658582796514","129.59","136.3482671174979","131.12636363636366","136.7295256184145","149.63054187192117","122.59386446886447","122.42971975114831","131.31868131868134","131.773140652451","132.049432049432","181.39806588647315","176.04609316078847","187.322677322677",""
"Maize grain yellow sold loose","174.14","180.82","166.81","191.07","204.67","204.76","199.4","199.73","163.93","205.06","205.06","205.297000572863","227.556080283353","200.0","173.753637666681","170.09778901815804","191.3155092034402","209.87432494825","193.826779281325","206.417540792541","197.857715201465","184.256715506716","144.3121693121693","141.144788104036","119.77745268147744","128.65350698684","130.513745513746","153.9155468187726","133.49857142857144","146.53312842968015","125.13566680233346","131.52","139.170253709424","130.86818181818182","132.1239606953893","125.73565323565325","120.8323320304887","118.75565166658086","128.5812054290315","121.059155897866","125.902467120487","179.83083225018711","176.72751199509324","184.727846501245",""
"Palm oil: 1 bottle,specify bottle","472.13","485.0","470.33","440.55","501.07","529.52","551.52","576.59","467.91","530.31","530.31","530.144927536232","551.666666666667","560.0","529.8245614035087","510.833333333333","535.833333333333","525.833333333333","509.52380952380946","522.8070175438596","591.111111111111","533.3333333333333","533.3333333333333","509.5238095238096","514.7826086956522","524.4444444444445","515.83256","496.410256410256","457.778","491.6666666666666","461.53846153846155","462.5","485.7142857142858","466.6666666666667","474.074074074074","488.8888888888889","437.22222222222223","442.222222222222","491.7647058823529","496.29629629629625","478.7878787878789","485.1851851851852","483.333333333333","479.487179487179",""
"Plantain(ripe)","200.0","207.38","209.12","218.8","218.35","229.61","244.77","253.23","196.09","229.95","210.188888888889","215.11904761904762","316.6666666666667","237.92008757525997","242.703817424406","262.100071225071","270.339906232763","249.19803205660278","253.08833678398892","288.46570730537456","274.074074074074","251.587301587302","254.7272727272727","205.074555074555","224.094209883684","257.891737891738","261.374547729228","279.4337606837607","254.29","268.18151147098513","251.225071225071","276.27","267.93355855855856","277.437","208.50630850630853","228.531424673713","256.824769340243","280.1201730820499","322.687406296852","255.645161290323","206.0439560439561","236.214896214896","214.84126984127","212.857142857143",""
"Plantain(unripe)","168.78","190.58","201.42","205.36","213.55","218.49","201.38","226.35","174.37","218.81","240.266666666667","237.244207275804","275.13440860215053","240.8575077540595","300.643655489809","285.880184050148","282.97308297308297","308.67805536141","313.638910941951","297.919087780303","270.00000000000006","239.605058474624","230.66666666666666","209.549973835688","200.169378681111","237.64025448236","242.917565876925","254.62962962962965","223.08","298.015873015873","265.5945419103314","278.11","261.344550198506","256.464285714286","282.224123467318","292.8575167093232","250.970137618987","259.553349875931","255.0777612698943","231.26460963066853","208.235497635798","250.595238095238","227.550839964633","224.377554812337",""
"Vegetable oil:1 bottle,specify bottle","354.19","398.33","402.22","400.74","429.4","473.87","433.33","453.33","380.72","474.58","474.58","470.0","525.0","550.32","600.0000000000001","582.424242424242","604.761904761905","597.272727272727","569.6969696969696","540.8333333333333","604.7619047619048","588.148148148148","597.904761904762","509.69696969697","559.68253968254","550.0","559.83265","548.666666666667","545.238571428571","485.71428571428567","485.214285714286","466.66","476.1904761904762","482.0515384615385","500.0","515.5555555555554","522.9166666666666","533.3333333333333","537.2549019607842","541.6666666666666","546.6666666666667","566.6666666666666","582.2222222222222","586.666666666667",""
"Wheat flour: prepacked (golden penny 2kg)","627.28","630.0","665.67","647.22","678.25","670.0","640.0","691.66","611.24","671.0","671.0","657.142857142857","680.0","642.8571428571429","635.7142857142857","613.333333333333","582.5","605.0","620.0","637.5","625.0","607.893217893218","654.666666666667","570.0","600.0","591.666666666667","602.1643","595.333333333333","570.0","633.3333333333334","600.0","590.375128","606.666666666667","600.642981","585.0","557.142857142857","560.666666666667","600.15","683.3333333333334","689.75","680.0","730.0","740.0","742.5",""
